treeID,DBH,treeSP
1,40,5
10,34,5
102,17,5
103,18,5
104,14,5
105,15,5
106,20.5,5
108,15.5,5
109,13,5
11,38,5
12,40,5
121,19.5,5
122,22.5,5
123,13,5
124,9.5,5
125,11,5
126,12,5
127,16,5
128,12.5,5
13,48.5,5
130,16,5
131,9.5,5
132,22.5,5
133,9,5
134,10,5
135,8.5,5
137,12.5,5
138,20,5
139,12.5,5
140,16,5
141,10,5
142,10,5
143,9.5,5
15,27,5
16,19.5,5
17,34,5
21,16.5,5
22,40.5,5
23,29.5,5
28,11.5,5
29,18,5
3,16.5,5
30,18.5,5
31,20.5,5
32,18,5
33,13.5,5
34,15.5,5
35,29.5,5
36,16,5
37,47,5
38,18,5
39,9.5,5
40,15,5
41,24,5
42,14,5
43,16.5,5
44,15,5
46,18,5
47,18.5,5
5,14.5,5
50,13,5
51,16.5,5
52,52,5
54,29,5
55,19,5
56,28,5
57,21,5
58,55,5
59,19,5
60,13.5,5
61,13,5
62,17.5,5
64,29,5
65,25,5
7,55,5
74,19.5,5
75,14.5,5
76,10.5,5
77,19,5
78,13,5
79,19.5,5
8,45,5
80,15,5
81,18,5
82,13,5
83,15,5
84,17.5,5
85,14.5,5
86,17.5,5
87,16,5
88,39.5,5
89,20,5
9,15,5
90,11.5,5
91,10.5,5
92,14.6,5
93,15.5,5
94,15,5
98,17,5
145,11,5
147,11,5
152,11,5
155,9,5
156,8.5,5
157,14.5,5
166,7,5
167,13.5,5
168,7,5
169,13,5
170,7.5,5
171,7,5
172,8,5
173,7,5
176,7.5,5
180,13.5,5
205,15,5
206,10,5
207,7.2,5
209,12,5
210,14.5,5
211,10,5
212,12.5,5
213,10,5
219,8.5,5
223,9.5,5
